Gene,Group
RILPL2,NEPC downregulated
ACPP,NEPC downregulated
HOXB13,NEPC downregulated
ICAM3,NEPC downregulated
CALR,mTORC1 signaling
PGK1,mTORC1 signaling
PSAT1,mTORC1 signaling
LDHA,mTORC1 signaling
SCD,mTORC1 signaling
P4HA1,mTORC1 signaling
NUPR1,mTORC1 signaling
HSPA5,mTORC1 signaling
ACLY,mTORC1 signaling
SQSTM,mTORC1 signaling
GOT1,mTORC1 signaling
TPI1,mTORC1 signaling
AURKA,mTORC1 signaling
DHFR,mTORC1 signaling
IGFBP5,mTORC1 signaling
ENO1,mTORC1 signaling
EBP,mTORC1 signaling
AK4,mTORC1 signaling
ME1,mTORC1 signaling
ALDOA,mTORC1 signaling
CCNG1,mTORC1 signaling
RRM2,mTORC1 signaling
DHCR24,mTORC1 signaling
PSMC4,mTORC1 signaling
MCM2,mTORC1 signaling
PGM1,mTORC1 signaling
PLK1,mTORC1 signaling
GSK3B,mTORC1 signaling
SDF2L1,mTORC1 signaling
MCM4,mTORC1 signaling
HSP90B1,mTORC1 signaling
TUBG1,mTORC1 signaling
PDAP1,mTORC1 signaling
BUB1,mTORC1 signaling
GPI,mTORC1 signaling
ATP2A2,mTORC1 signaling
HMBS,mTORC1 signaling
SBSPON,PROSGenesis
ELF3,PROSGenesis
ATP1B1,PROSGenesis
TSTD1,PROSGenesis
LRRC26,PROSGenesis
APIP,PROSGenesis
ID1,PROSGenesis
ATP6AP2,PROSGenesis
BEX4,PROSGenesis
BEX1,PROSGenesis
MECOM,PROSGenesis
MME,PROSGenesis
TRIM2,PROSGenesis
PAQR6,PROSGenesis
RAB25,PROSGenesis
S100A1,PROSGenesis
S100A14,PROSGenesis
S100A11,PROSGenesis
TXNIP,PROSGenesis
SLC39A8,PROSGenesis
LMO4,PROSGenesis
NANS,PROSGenesis
PTGR1,PROSGenesis
PDZK1IP1,PROSGenesis
TSPAN1,PROSGenesis
CITED4,PROSGenesis
CASZ1,PROSGenesis
CDK6,PROSGenesis
HOPX,PROSGenesis
ANXA3,PROSGenesis
CLDN3,PROSGenesis
TSPAN33,PROSGenesis
TACSTD2,PROSGenesis
IL17RE,PROSGenesis
CD9,PROSGenesis
CMAS,PROSGenesis
CEACAM1,PROSGenesis
SPINT2,PROSGenesis
UPK1A,PROSGenesis
FXYD3,PROSGenesis
AKAP13,PROSGenesis
STARD10,PROSGenesis
PGAP2,PROSGenesis
PPFIBP2,PROSGenesis
ACSM3,PROSGenesis
CRACR2B,PROSGenesis
KCNQ1,PROSGenesis
ANO1,PROSGenesis
CDK19,PROSGenesis
CHCHD10,PROSGenesis
PLPP2,PROSGenesis
CHPT1,PROSGenesis
PHLDA1,PROSGenesis
TSPAN8,PROSGenesis
RAB11FIP1,PROSGenesis
CDH1,PROSGenesis
RHOU,PROSGenesis
LGALS3,PROSGenesis
CLU,PROSGenesis
KLF5,PROSGenesis
MMP7,PROSGenesis
SMCO4,PROSGenesis
BARX2,PROSGenesis
ANXA2,PROSGenesis
GSTA4,PROSGenesis
CTSH,PROSGenesis
PLSCR1,PROSGenesis
ALAS1,PROSGenesis
ABHD14B,PROSGenesis
LIMK2,PROSGenesis
CLDN7,PROSGenesis
ALOX15,PROSGenesis
GDPD1,PROSGenesis
PRR15L,PROSGenesis
PPP1R1B,PROSGenesis
KRT19,PROSGenesis
SOX9,PROSGenesis
SMIM6,PROSGenesis
CDC20,Persist
MKI67,Persist
CCNB2,Persist
CENPF,Persist
DLGAP5,Persist
HMMR,Persist
PLK1,Persist
CCNB1,Persist
PTTG1,Persist
CENPE,Persist
UBE2S,Persist
NCAPD2,Persist
TUBA1C,Persist
DYNLL1,Persist
CD81,Persist
CKAP5,Persist
ODC1,Persist
PCNA,MYC targets V1
PSMD8,MYC targets V1
PSMD7,MYC targets V1
SET,MYC targets V1
SNRPA1,MYC targets V1
RAN,MYC targets V1
SRSF2,MYC targets V1
G3BP1,MYC targets V1
STARD7,MYC targets V1
NPM1,MYC targets V1
BUB3,MYC targets V1
EIF3D,MYC targets V1
XPO1,MYC targets V1
FBL,MYC targets V1
EIF4A1,MYC targets V1
CANX,MYC targets V1
NAP1L1,MYC targets V1
CBX3,MYC targets V1
CCT3,MYC targets V1
C1QBP,MYC targets V1
U2AF1,MYC targets V1
UBE2L3,MYC targets V1
SSBP1,MYC targets V1
SRSF1,MYC targets V1
TCP1,MYC targets V1
MCM2,MYC targets V1
EIF3B,MYC targets V1
PSMD14,MYC targets V1
SNRPA,MYC targets V1
PWP1,MYC targets V1
APEX1,MYC targets V1
TXNL4A,MYC targets V1
HNRNPR,MYC targets V1
PSMB2,MYC targets V1
HPRT1,MYC targets V1
MCM6,MYC targets V1
NME1,MYC targets V1
SNRPD1,MYC targets V1
EEF1B2,MYC targets V1
HSPD1,MYC targets V1
CAD,MYC targets V1
RPL18,MYC targets V1
PGK1,MYC targets V1
DDX18,MYC targets V1
RPS2,MYC targets V1
LDHA,MYC targets V1
RUVBL2,MYC targets V1
RNPS1,MYC targets V1
EIF2S1,MYC targets V1
RANBP1,MYC targets V1
MCM5,MYC targets V1
IARS,MYC targets V1
UBE2E1,MYC targets V1
MYC,MYC targets V1
AP3S1,MYC targets V1
RFC4,MYC targets V1
DUT,MYC targets V1
PSMA4,MYC targets V1
RPS3,MYC targets V1
SNRPG,MYC targets V1
PHB2,MYC targets V1
SSB,MYC targets V1
EIF4H,MYC targets V1
SRSF3,MYC targets V1
CCT4,MYC targets V1
TFDP1,MYC targets V1
EIF2S2,MYC targets V1
CDK4,MYC targets V1
SNRPD3,MYC targets V1
PSMD1,MYC targets V1
RACK1,MYC targets V1
GOT2,MYC targets V1
PABPC4,MYC targets V1
CCT5,MYC targets V1
PRPS2,MYC targets V1
ACP1,MYC targets V1
PRPF31,MYC targets V1
CCT2,MYC targets V1
KARS,MYC targets V1
DEK,MYC targets V1
EIF4G2,MYC targets V1
XPOT,MYC targets V1
SRM,MYC targets V1
UBA2,MYC targets V1
KPNB1,MYC targets V1
PSMA7,MYC targets V1
TRA2B,MYC targets V1
COX5A,MYC targets V1
PA2G4,MYC targets V1
PCBP1,MYC targets V1
HNRNPA1,MYC targets V1
CCNA2,MYC targets V1
PPIA,MYC targets V1
EIF3J,MYC targets V1
ORC2,MYC targets V1
PSMA2,MYC targets V1
SYNCRIP,MYC targets V1
HDAC2,MYC targets V1
LSM2,MYC targets V1
VBP1,MYC targets V1
PSMA6,MYC targets V1
CNBP,MYC targets V1
CDK2,MYC targets V1
TARDBP,MYC targets V1
NOLC1,MYC targets V1
GSPT1,MYC targets V1
HNRNPA2B1,MYC targets V1
ETF1,MYC targets V1
AC004086.1,MYC targets V1
TOMM70,MYC targets V1
PTGES3,MYC targets V1
PSMA1,MYC targets V1
PSMC6,MYC targets V1
CTPS1,MYC targets V1
HSPE1,MYC targets V1
FAM120A,MYC targets V1
PPM1G,MYC targets V1
HNRNPD,MYC targets V1
SERBP1,MYC targets V1
CSTF2,MYC targets V1
PRDX4,MYC targets V1
EIF4E,MYC targets V1
ODC1,MYC targets V1
USP1,MYC targets V1
RPL22,MYC targets V1
HNRNPA3,MYC targets V1
NCBP1,MYC targets V1
RPLP0,MYC targets V1
ABCE1,MYC targets V1
EIF1AX,MYC targets V1
YWHAE,MYC targets V1
MCM7,MYC targets V1
YWHAQ,MYC targets V1
VDAC1,MYC targets V1
SMARCC1,MYC targets V1
SNRPD2,MYC targets V1
HNRNPU,MYC targets V1
HDDC2,MYC targets V1
PSMD3,MYC targets V1
RRM1,MYC targets V1
SF3A1,MYC targets V1
LSM7,MYC targets V1
ERH,MYC targets V1
RPL14,MYC targets V1
PSMB3,MYC targets V1
IFRD1,MYC targets V1
NCBP2,MYC targets V1
GLO1,MYC targets V1
NDUFAB1,MYC targets V1
CUL1,MYC targets V1
NHP2,MYC targets V1
CLNS1A,MYC targets V1
TRIM28,MYC targets V1
RSL1D1,MYC targets V1
HNRNPC,MYC targets V1
COPS5,MYC targets V1
XRCC6,MYC targets V1
SLC25A3,MYC targets V1
MRPL9,MYC targets V1
POLE3,MYC targets V1
POLD2,MYC targets V1
H2AFZ,MYC targets V1
AIMP2,MYC targets V1
NOP56,MYC targets V1
PRDX3,MYC targets V1
MRPS18B,MYC targets V1
EPRS,MYC targets V1
KPNA2,MYC targets V1
HSP90AB1,MYC targets V1
RPL34,MYC targets V1
SRPK1,MYC targets V1
MAD2L1,MYC targets V1
DHX15,MYC targets V1
MCM4,MYC targets V1
RPS5,MYC targets V1
CCT7,MYC targets V1
HDGF,MYC targets V1
RPS6,MYC targets V1
SNRPB2,MYC targets V1
PSMC4,MYC targets V1
CDC20,MYC targets V1
TUFM,MYC targets V1
RRP9,MYC targets V1
CDC45,MYC targets V1
TYMS,MYC targets V1
ILF2,MYC targets V1
VDAC3,MYC targets V1
IMPDH2,MYC targets V1
SF3B3,MYC targets V1
NOP16,MYC targets V1
SRSF7,MYC targets V1
GNL3,MYC targets V1
EXOSC7,MYC targets V1
MRPL23,MYC targets V1
RAD23B,MYC targets V1
RPS10,MYC targets V1
PHB,MYC targets V1
DDX21,MYC targets V1
CYC1,MYC targets V1
PABPC1,MYC targets V1
SLC19A1,MYC targets V2
MRTO4,MYC targets V2
TMEM97,MYC targets V2
RRP9,MYC targets V2
PES1,MYC targets V2
TFB2M,MYC targets V2
EXOSC5,MYC targets V2
IPO4,MYC targets V2
NDUFAF4,MYC targets V2
NOC4L,MYC targets V2
MYC,MYC targets V2
SRM,MYC targets V2
PA2G4,MYC targets V2
GNL3,MYC targets V2
NOLC1,MYC targets V2
WDR43,MYC targets V2
RABEPK,MYC targets V2
NOP16,MYC targets V2
TBRG4,MYC targets V2
DDX18,MYC targets V2
NIP7,MYC targets V2
WDR74,MYC targets V2
BYSL,MYC targets V2
HSPD1,MYC targets V2
PLK4,MYC targets V2
NOP2,MYC targets V2
PPAN,MYC targets V2
NOP56,MYC targets V2
RCL1,MYC targets V2
NPM1,MYC targets V2
AIMP2,MYC targets V2
RRP12,MYC targets V2
PPRC1,MYC targets V2
TCOF1,MYC targets V2
MCM5,MYC targets V2
HK2,MYC targets V2
CBX3,MYC targets V2
PLK1,MYC targets V2
PHB,MYC targets V2
MCM4,MYC targets V2
CDK4,MYC targets V2
DUSP2,MYC targets V2
MYBBP1A,MYC targets V2
UTP20,MYC targets V2
PRMT3,MYC targets V2
FARSA,MYC targets V2
MAP3K6,MYC targets V2
LAS1L,MYC targets V2
PUS1,MYC targets V2
HSPE1,MYC targets V2
SLC29A2,MYC targets V2
DCTPP1,MYC targets V2
SUPV3L1,MYC targets V2
SORD,MYC targets V2
IMP4,MYC targets V2
GRWD1,MYC targets V2
UNG,MYC targets V2
MPHOSPH10,MYC targets V2
ABCC4,AR activity
 ACSL3,AR activity
 ADAM7,AR activity
 C1ORF116,AR activity
 CENPN,AR activity
 EAF2,AR activity
 ELL2,AR activity
 FKBP5,AR activity
 GNMT,AR activity
 HERC3,AR activity
 KLK2,AR activity
 KLK3,AR activity
 MAF,AR activity
 MED28,AR activity
 MPHOSPH9,AR activity
 NKX3–1,AR activity
 NNMT,AR activity
 PMEPA1,AR activity
 PTGER4,AR activity
 ZBTB10,AR activity
ADAM9,ARFL
 SLC50A1,ARFL
 RAB4A,ARFL
 PHF8,ARFL
 PARVA,ARFL
 NRARP,ARFL
 NFIX,ARFL
 MYO1B,ARFL
 MMP20,ARFL
 LRIG3,ARFL
 KLF5,ARFL
 KCNJ1,ARFL
 GLI3,ARFL
 G3BP2,ARFL
 FAM96B,ARFL
 ERN1,ARFL
 CUZD1,ARFL
 CLDN8,ARFL
 CDK2AP2,ARFL
 KNSTRN,ARFL
 TIGD6,ARFL
 GPR65,ARFL
 GALNT18,ARFL
 FOXD4,ARFL
 ELP5,ARFL
 DNM1L,ARFL
 ABCA1,ARFL
 CKB,ARFL
 CEACAM16,ARFL
 CAB39L,ARFL
 PXYLP1,ARFL
 ABCA5,ARFL
 AGAP9,ARFL
ANKRD32,ARV
 ANO6,ARV
 ASPM,ARV
 ATL2,ARV
 CA8,ARV
 CDK1,ARV
 CEP128,ARV
 CHAC2,ARV
 CPS1,ARV
 CROT,ARV
 DIAPH3,ARV
 DSCAM,ARV
 DTL,ARV
 E2F7,ARV
 ENDOG,ARV
 GCNT1,ARV
 GJA1,ARV
 GMPR,ARV
 GRIN3A,ARV
 IL1R2,ARV
 INMT,ARV
 INMT-FAM188B,ARV
 INSC,ARV
 INSIG1,ARV
 ISL1,ARV
 KBTBD8,ARV
 KCNC4,ARV
 KCNMB2,ARV
 KRT19,ARV
 LPL,ARV
 LRFN2,ARV
 MAD2L1,ARV
 MAF,ARV
 MESP1,ARV
 MESP2,ARV
 MID1,ARV
 NCAPG2,ARV
 NDST4,ARV
 NUF2,ARV
 NUP93,ARV
 PARL,ARV
 PHTF2,ARV
 PREX2,ARV
 PRIM2,ARV
 RAB33A,ARV
 RARB,ARV
 RDH10,ARV
 RECQL,ARV
 RGS1,ARV
 RGS2,ARV
 SGOL1,ARV
 SLC31A2,ARV
 SLCO2A1,ARV
 SMC2,ARV
 STOX1,ARV
 TIFA,ARV
 TMEM169,ARV
 TMEM241,ARV
 TMEM97,ARV
 TMPO,ARV
 TRIM36,ARV
 TTK,ARV
 UCHL5,ARV
 WNT16,ARV
 ZBTB10,ARV
 ZNF367,ARV
CHEK1,BRCAness
 BRCA1,BRCAness
 EXO1,BRCAness
 BLM,BRCAness
 RMI1,BRCAness
 RAD54L,BRCAness
 RAD51,BRCAness
 LIG1,BRCAness
 XRCC3,BRCAness
 RMI2,BRCAness
