Gene,Group
MRPL41,ENZ-induced clusters
ANKRD29,ENZ-induced clusters
MANF,ENZ-induced clusters
LRRN1,ENZ-induced clusters
CHCHD2,ENZ-induced clusters
ADRA2A,ENZ-induced clusters
NOP10,ENZ-induced clusters
FAM198B,ENZ-induced clusters
CREB3L4,ENZ-induced clusters
MAT2A,ENZ-induced clusters
NIPSNAP3A,ENZ-induced clusters
CRELD2,ENZ-induced clusters
TSPAN8,ENZ-induced clusters
H3F3A,ENZ-induced clusters
PDIA6,ENZ-induced clusters
ANK3,ENZ-induced clusters
PDIA3,ENZ-induced clusters
ARPC5,ENZ-induced clusters
GTF3C6,ENZ-induced clusters
S100A11,ENZ-induced clusters
HSP90AB1,ENZ-induced clusters
PRUNE2,ENZ-induced clusters
PARK7,ENZ-induced clusters
KRT18,ENZ-induced clusters
HMGCS2,ENZ-induced clusters
ATP6V1G1,ENZ-induced clusters
ADGRV1,ENZ-induced clusters
INSIG2,ENZ-induced clusters
MLEC,ENZ-induced clusters
TMEM144,ENZ-induced clusters
MIA3,ENZ-induced clusters
ATP1B1,ENZ-induced clusters
PDIA4,ENZ-induced clusters
HOXA10,ENZ-induced clusters
ATP11A,ENZ-induced clusters
SMIM14,ENZ-induced clusters
LAMA3,ENZ-induced clusters
ZBTB43,ENZ-induced clusters
ITM2B,ENZ-induced clusters
COX7A2,ENZ-induced clusters
LCP1,ENZ-induced clusters
MRPL20,ENZ-induced clusters
LAMTOR5,ENZ-induced clusters
P4HB,ENZ-induced clusters
MRPL57,ENZ-induced clusters
GUK1,ENZ-induced clusters
TMED2,ENZ-induced clusters
MTRNR2L12,ENZ-induced clusters
ARRDC3,ENZ-induced clusters
SYT4,ENZ-induced clusters
ATG3,ENZ-induced clusters
SDF2L1,ENZ-induced clusters
TMEM59,ENZ-induced clusters
CCT8,ENZ-induced clusters
COA3,ENZ-induced clusters
CSTB,ENZ-induced clusters
LYPLAL1,ENZ-induced clusters
FBXO9,ENZ-induced clusters
GSTA4,ENZ-induced clusters
ARL6IP5,ENZ-induced clusters
MYL6,ENZ-induced clusters
ZNF503,ENZ-induced clusters
SCP2,ENZ-induced clusters
RAP2B,ENZ-induced clusters
CALD1,ENZ-induced clusters
DNAJC3,ENZ-induced clusters
SSR1,ENZ-induced clusters
PPIB,ENZ-induced clusters
DNPH1,ENZ-induced clusters
GLO1,ENZ-induced clusters
DBI,ENZ-induced clusters
C1orf122,ENZ-induced clusters
RDH11,ENZ-induced clusters
MINOS1,ENZ-induced clusters
ATP6V0E1,ENZ-induced clusters
MYDGF,ENZ-induced clusters
TIMM17A,ENZ-induced clusters
ARFGEF1,ENZ-induced clusters
AGTRAP,ENZ-induced clusters
ARF4,ENZ-induced clusters
MRPL55,ENZ-induced clusters
TSC22D1,ENZ-induced clusters
LAMP2,ENZ-induced clusters
DDOST,ENZ-induced clusters
AP1S1,ENZ-induced clusters
DENND1B,ENZ-induced clusters
ARHGAP29,ENZ-induced clusters
ENAH,ENZ-induced clusters
BARD1,ENZ-induced clusters
HERPUD1,ENZ-induced clusters
TMEM14A,ENZ-induced clusters
GOLIM4,ENZ-induced clusters
MAP1B,ENZ-induced clusters
EPHX1,ENZ-induced clusters
SQSTM1,ENZ-induced clusters
NQO1,ENZ-induced clusters
ATF4,ENZ-induced clusters
HSPD1,ENZ-induced clusters
PCK2,ENZ-induced clusters
APRT,ENZ-induced clusters
RNF187,ENZ-induced clusters
ATP5F1B,ENZ-induced clusters
GARS,ENZ-induced clusters
EPRS,ENZ-induced clusters
C2orf54,ENZ-induced clusters
FTH1,ENZ-induced clusters
GPX4,ENZ-induced clusters
MGST1,ENZ-induced clusters
TARS,ENZ-induced clusters
ARL1,ENZ-induced clusters
KLHL35,ENZ-induced clusters
DDIT3,ENZ-induced clusters
BEX2,ENZ-induced clusters
PPP1R16A,ENZ-induced clusters
SDSL,ENZ-induced clusters
ASS1,ENZ-induced clusters
ASNS,ENZ-induced clusters
SNHG25,ENZ-induced clusters
TM7SF2,ENZ-induced clusters
RAMP1,ENZ-induced clusters
HNRNPA2B1,Persistent clusters
NMU,Persistent clusters
ARL6IP1,Persistent clusters
PTTG1,Persistent clusters
RPA3,Persistent clusters
HNRNPC,Persistent clusters
SRSF3,Persistent clusters
CENPW,Persistent clusters
HNRNPM,Persistent clusters
STMN1,Persistent clusters
HMGN1,Persistent clusters
HMGN2,Persistent clusters
DYNLL1,Persistent clusters
NQO1,Persistent clusters
EPHX1,Persistent clusters
ASPH,Persistent clusters
PAGE1,Persistent clusters
BNIP3,Persistent clusters
PGK1,Persistent clusters
LDHA,Persistent clusters
MT2A,Persistent clusters
ENO1,Persistent clusters
BNIP3L,Persistent clusters
GPI,Persistent clusters
NEAT1,Persistent clusters
NDRG1,Persistent clusters
SCD,Persistent clusters
C4orf3,Persistent clusters
FAM162A,Persistent clusters
PKM,Persistent clusters
P4HA1,Persistent clusters
GAPDH,Persistent clusters
DSP,Persistent clusters
MALAT1,Persistent clusters
TPI1,Persistent clusters
PFKP,Persistent clusters
PGAM1,Persistent clusters
ALDOC,Persistent clusters
MIR210HG,Persistent clusters
MT1X,Persistent clusters
PIAS2,Persistent clusters
CKB,Persistent clusters
ACLY,Persistent clusters
ABHD2,Persistent clusters
PLOD2,Persistent clusters
CCNI,Persistent clusters
SEC61G,Persistent clusters
TXNIP,Persistent clusters
AK4,Persistent clusters
INSIG2,Persistent clusters
VEGFA,Persistent clusters
KLK4,Persistent clusters
KLK2,Persistent clusters
TFF3,Persistent clusters
EGFR,Persistent clusters
DARS,Persistent clusters
MKNK2,Persistent clusters
PDK1,Persistent clusters
ZKSCAN1,Persistent clusters
TMEM141,Persistent clusters
ANKZF1,Persistent clusters
HLA-A,Persistent clusters
FADS2,Persistent clusters
ERO1A,Persistent clusters
ENC1,Persistent clusters
PPP2R2A,Persistent clusters
DDIT4,Persistent clusters
MXI1,Persistent clusters
KLK3,Persistent clusters
SOX4,Persistent clusters
DEGS1,Persistent clusters
MAP1B,Persistent clusters
SAT1,Persistent clusters
PGM1,Persistent clusters
HPN,Persistent clusters
SPON2,Persistent clusters
TMEM123,Persistent clusters
MYO6,Persistent clusters
GDF15,Persistent clusters
TSC22D1,Persistent clusters
HLA-B,Persistent clusters
AIDA,Persistent clusters
AMD1,Persistent clusters
ZFP36L1,Persistent clusters
IRF6,Persistent clusters
NETO1,Persistent clusters
MIA3,Persistent clusters
EFNA1,Persistent clusters
FASN,Persistent clusters
MT1F,Persistent clusters
PLA2G16,Persistent clusters
VGLL4,Persistent clusters
BTG1,Persistent clusters
P4HB,Persistent clusters
MIR99AHG,Persistent clusters
GLO1,Persistent clusters
JUND,Persistent clusters
SLC16A1,Persistent clusters
SYT4,Persistent clusters
AR,Persistent clusters
JUN,Persistent clusters
MME,Persistent clusters
CAMK2N1,Persistent clusters
TMSB10,Persistent clusters
LMO4,Persistent clusters
TUBA1A,Persistent clusters
ATP1B1,Persistent clusters
PLA2G2A,Persistent clusters
CCNB1,Persistent clusters
UBE2S,Persistent clusters
CENPF,Persistent clusters
CKS2,Persistent clusters
HMMR,Persistent clusters
CDKN3,Persistent clusters
TUBA1B,Persistent clusters
CDC20,Persistent clusters
TUBB4B,Persistent clusters
BIRC5,Persistent clusters
HMGB2,Persistent clusters
CCNB2,Persistent clusters
TUBA1C,Persistent clusters
CENPE,Persistent clusters
DEPDC1,Persistent clusters
H2AFZ,Persistent clusters
DLGAP5,Persistent clusters
TOP2A,Persistent clusters
PBK,Persistent clusters
NUSAP1,Persistent clusters
CKS1B,Persistent clusters
TPX2,Persistent clusters
MAD2L1,Persistent clusters
ECT2,Persistent clusters
SMC4,Persistent clusters
NEK2,Persistent clusters
RAD21,Persistent clusters
JPT1,Persistent clusters
HMGB1,Persistent clusters
ANP32E,Persistent clusters
CALM2,Persistent clusters
NUCKS1,Persistent clusters
MKI67,Persistent clusters
CDCA3,Persistent clusters
KIF4A,Persistent clusters
NUF2,Persistent clusters
HMGB3,Persistent clusters
PLK1,Persistent clusters
KIF14,Persistent clusters
ASPM,Persistent clusters
SMC2,Persistent clusters
TACC3,Persistent clusters
DEK,Persistent clusters
SGO2,Persistent clusters
PRR11,Persistent clusters
TROAP,Persistent clusters
GTSE1,Persistent clusters
BUB1,Persistent clusters
SPAG5,Persistent clusters
CKAP5,Persistent clusters
H2AFV,Persistent clusters
CEP55,Persistent clusters
TUBB,Persistent clusters
UBE2C,Persistent clusters
DEPDC1B,Persistent clusters
TK1,Persistent clusters
TYMS,Persistent clusters
GPSM2,Persistent clusters
CKAP2,Persistent clusters
RAN,Persistent clusters
SKA2,Persistent clusters
KIF20B,Persistent clusters
ZWINT,Persistent clusters
TMPO,Persistent clusters
CENPA,Persistent clusters
CENPU,Persistent clusters
ARHGAP11A,Persistent clusters
AURKA,Persistent clusters
HP1BP3,Persistent clusters
FAM83D,Persistent clusters
LBR,Persistent clusters
CENPN,Persistent clusters
LSM5,Persistent clusters
NCAPG,Persistent clusters
MRPL51,Persistent clusters
DTYMK,Persistent clusters
PCLAF,Persistent clusters
DIAPH3,Persistent clusters
H3F3B,Persistent clusters
FOXM1,Persistent clusters
NUDT1,Persistent clusters
PTGES3,Persistent clusters
CNIH4,Persistent clusters
LSM3,Persistent clusters
PARPBP,Persistent clusters
NCAPD2,Persistent clusters
CCDC34,Persistent clusters
RHEB,Persistent clusters
AL118516.1,Persistent clusters
CDCA2,Persistent clusters
RDM1,Persistent clusters
BUB3,Persistent clusters
NDC80,Persistent clusters
ANP32B,Persistent clusters
CBX3,Persistent clusters
H1FX,Persistent clusters
KPNA2,Persistent clusters
CENPM,Persistent clusters
SAPCD2,Persistent clusters
HNRNPH3,Persistent clusters
SFPQ,Persistent clusters
LSM4,Persistent clusters
RACGAP1,Persistent clusters
NUDCD2,Persistent clusters
ILF2,Persistent clusters
GGH,Persistent clusters
CACYBP,Persistent clusters
SPDL1,Persistent clusters
SGO1,Persistent clusters
PTMA,Persistent clusters
SLTM,Persistent clusters
BCL2L12,Persistent clusters
GGCT,Persistent clusters
KNSTRN,Persistent clusters
THUMPD3-AS1,Persistent clusters
RAD51C,Persistent clusters
TXNDC12,Persistent clusters
SNRPB,Persistent clusters
RBM8A,Persistent clusters
CENPH,Persistent clusters
HMG20B,Persistent clusters
H2AFX,Persistent clusters
LMNB1,Persistent clusters
TIMM10,Persistent clusters
EMC9,Persistent clusters
CEP70,Persistent clusters
PSIP1,Persistent clusters
DDX39A,Persistent clusters
KRT10,Persistent clusters
PSAT1,Persistent clusters
CBX1,Persistent clusters
ODC1,Persistent clusters
HINT2,Persistent clusters
UBE2T,Persistent clusters
MAL2,Persistent clusters
RANBP1,Persistent clusters
G2E3,Persistent clusters
SRP9,Persistent clusters
HLTF,Persistent clusters
CCT5,Persistent clusters
GSPT1,Persistent clusters
HNRNPA3,Persistent clusters
TCEA1,Persistent clusters
ATP5IF1,Persistent clusters
ISOC2,Persistent clusters
CKLF,Persistent clusters
EXOSC8,Persistent clusters
SEPT7,Persistent clusters
HNRNPR,Persistent clusters
MTHFD2,Persistent clusters
NASP,Persistent clusters
DNAJA1,Persistent clusters
SLC3A2,Persistent clusters
PRAC2,Persistent clusters
MAT2A,Persistent clusters
MARCKS,Persistent clusters
HSP90AA1,Persistent clusters
FAM111B,Persistent clusters
PCNA,Persistent clusters
MCM3,Persistent clusters
MCM7,Persistent clusters
MCM4,Persistent clusters
BRCA1,Persistent clusters
ORC6,Persistent clusters
CLSPN,Persistent clusters
GINS2,Persistent clusters
CDC6,Persistent clusters
E2F1,Persistent clusters
MCM5,Persistent clusters
MCM10,Persistent clusters
HELLS,Persistent clusters
SLBP,Persistent clusters
DTL,Persistent clusters
CDT1,Persistent clusters
MCM6,Persistent clusters
DNMT1,Persistent clusters
ATAD2,Persistent clusters
FEN1,Persistent clusters
CDCA7,Persistent clusters
RFC2,Persistent clusters
UNG,Persistent clusters
CHAF1A,Persistent clusters
CDK1,Persistent clusters
BRCA2,Persistent clusters
DHFR,Persistent clusters
XRCC2,Persistent clusters
RFC4,Persistent clusters
RMI2,Persistent clusters
CHEK1,Persistent clusters
FIGNL1,Persistent clusters
CDC45,Persistent clusters
PGP,Persistent clusters
ASF1B,Persistent clusters
DUT,Persistent clusters
MSH6,Persistent clusters
WDHD1,Persistent clusters
ATAD5,Persistent clusters
TUBA4A,Persistent clusters
DNAJC9,Persistent clusters
VRK1,Persistent clusters
SRSF2,Persistent clusters
NOP56,Persistent clusters
CENPX,Persistent clusters
RFC1,Persistent clusters
PRKDC,Persistent clusters
RPA2,Persistent clusters
DCTPP1,Persistent clusters
TUBG1,Persistent clusters
NCAPD3,Persistent clusters
SMC1A,Persistent clusters
BRI3BP,Persistent clusters
FUS,Persistent clusters
BARD1,Persistent clusters
RRM2,Persistent clusters
GMNN,Persistent clusters
CDK4,Persistent clusters
RRM1,Persistent clusters
EMP2,Persistent clusters
NOLC1,Persistent clusters
MRPL17,Persistent clusters
USP1,Persistent clusters
SMC3,Persistent clusters
HIST1H4C,Persistent clusters
HIST2H2AC,Persistent clusters
HIST1H1B,Persistent clusters
HIST1H1E,Persistent clusters
ESCO2,Persistent clusters
TMEM106C,Persistent clusters
SIVA1,Persistent clusters
C21orf58,Persistent clusters
MYBL2,Persistent clusters
RAD51AP1,Persistent clusters
AURKB,Persistent clusters
HJURP,Persistent clusters
CDCA5,Persistent clusters
SPC25,Persistent clusters
MND1,Persistent clusters
FANCI,Persistent clusters
PRIM1,Persistent clusters
FBXO5,Persistent clusters
CENPK,Persistent clusters
MELK,Persistent clusters
PKMYT1,Persistent clusters
CDKN2D,Persistent clusters
HIST1H1C,Persistent clusters
CBX5,Persistent clusters
KIF2C,Persistent clusters
KNL1,Persistent clusters
TCF19,Persistent clusters
HIRIP3,Persistent clusters
WDR34,Persistent clusters
EZH2,Persistent clusters
FANCD2,Persistent clusters
MNS1,Persistent clusters
DSN1,Persistent clusters
MXD3,Persistent clusters
CDCA4,Persistent clusters
CARHSP1,Persistent clusters
CDCA8,Persistent clusters
KIF11,Persistent clusters
PSMC3,Persistent clusters
PARP2,Persistent clusters
POLD3,Persistent clusters
SHCBP1,Persistent clusters
POLQ,Persistent clusters
SPC24,Persistent clusters
CCNA2,Persistent clusters
RFC5,Persistent clusters
CKAP2L,Persistent clusters
DBF4,Persistent clusters
ANLN,Persistent clusters
YEATS4,Persistent clusters
PSMC3IP,Persistent clusters
TIMELESS,Persistent clusters
BUB1B,Persistent clusters
GINS1,Persistent clusters
NCAPG2,Persistent clusters
MIS18A,Persistent clusters
KIF22,Persistent clusters
SYNE2,Persistent clusters
SNRPG,Persistent clusters
POC1A,Persistent clusters
MGME1,Persistent clusters
RTKN2,Persistent clusters
YWHAH,Persistent clusters
MIS18BP1,Persistent clusters
TMEM107,Persistent clusters
BTG3,Persistent clusters
XRCC5,Persistent clusters
CEP57,Persistent clusters
SASS6,Persistent clusters
CENPL,Persistent clusters
RBBP8,Persistent clusters
EBP,Persistent clusters
HNRNPD,Persistent clusters
ALYREF,Persistent clusters
NSD2,Persistent clusters
SUZ12,Persistent clusters
TOPBP1,Persistent clusters
LRR1,Persistent clusters
ANAPC11,Persistent clusters
LRRCC1,Persistent clusters
VPS29,Persistent clusters
CDK5RAP2,Persistent clusters
COMMD4,Persistent clusters
CEP78,Persistent clusters
UBC,Persistent clusters
SUPT16H,Persistent clusters
SAC3D1,Persistent clusters
SNRPD1,Persistent clusters
THRAP3,Persistent clusters
PA2G4,Persistent clusters
MEA1,Persistent clusters
CSE1L,Persistent clusters
EIF5,Persistent clusters
ITGB3BP,Persistent clusters
TTF2,Persistent clusters
NFATC2IP,Persistent clusters
TCOF1,Persistent clusters
TRIR,Persistent clusters
ZDHHC12,Persistent clusters
RBBP4,Persistent clusters
HAT1,Persistent clusters
RMI1,Persistent clusters
ACAT2,Persistent clusters
FDPS,Persistent clusters
KMT5A,Persistent clusters
LSM8,Persistent clusters
SRSF7,Persistent clusters
CEBPG,Persistent clusters
CCDC14,Persistent clusters
LSM2,Persistent clusters
PHGDH,Persistent clusters
SRSF10,Persistent clusters
RBBP7,Persistent clusters
CTCF,Persistent clusters
CMC2,Persistent clusters
H1F0,Persistent clusters
SSRP1,Persistent clusters
IDH2,Persistent clusters
HADH,Persistent clusters
PPM1G,Persistent clusters
RAD23A,Persistent clusters
EIF4EBP1,Persistent clusters
DDIT3,Persistent clusters
CEBPB,Persistent clusters
TRIB3,Persistent clusters
HES4,Persistent clusters
UBALD2,Persistent clusters
KIF20A,Persistent clusters
PIF1,Persistent clusters
PSRC1,Persistent clusters
PIMREG,Persistent clusters
CDC25B,Persistent clusters
TTK,Persistent clusters
KIF23,Persistent clusters
KIF18A,Persistent clusters
CCNF,Persistent clusters
CDC25C,Persistent clusters
SAP30,Persistent clusters
ARHGEF39,Persistent clusters
GAS2L3,Persistent clusters
BRD8,Persistent clusters
PRC1,Persistent clusters
INCENP,Persistent clusters
CCDC18,Persistent clusters
NCAPH,Persistent clusters
ZMYM1,Persistent clusters
KIFC1,Persistent clusters
OIP5,Persistent clusters
WEE1,Persistent clusters
RNF26,Persistent clusters
DCAF7,Persistent clusters
REEP4,Persistent clusters
STIL,Persistent clusters
RANGAP1,Persistent clusters
CIT,Persistent clusters
SCLT1,Persistent clusters
CIP2A,Persistent clusters
KIAA0586,Persistent clusters
KIF15,Persistent clusters
ARHGAP21,Persistent clusters
SMTN,Persistent clusters
PLEKHA5,Persistent clusters
UACA,Persistent clusters
CCSAP,Persistent clusters
RHNO1,Persistent clusters
CDC27,Persistent clusters
IER5L,Persistent clusters
DCP2,Persistent clusters
C2orf69,Persistent clusters
MED7,Persistent clusters
GOT1,Persistent clusters
CDKN1B,Persistent clusters
DESI2,Persistent clusters
PRPSAP1,Persistent clusters
COQ2,Persistent clusters
MYEF2,Persistent clusters
PCM1,Persistent clusters
WSB1,Persistent clusters
TGIF1,Persistent clusters
C9orf40,Persistent clusters
DCTN3,Persistent clusters
TPR,Persistent clusters
ZNF714,Persistent clusters
RSRC1,Persistent clusters
VDAC3,Persistent clusters
GCLM,Persistent clusters
LINC01133,Persistent clusters
ASNS,Persistent clusters
SLC7A11,Persistent clusters
UQCC2,Persistent clusters
