"","ENZ48_vs_DMSO","RESA_vs_DMSO","RESB_vs_DMSO"
"E2F1",0.099946940682592,0.148661302611319,-0.0436930335725755
"JUND",-0.388708878395674,1.5099986961462,1.68203825972511
"ELK4",-0.146619616236071,-0.251021970192139,-0.0424666646796885
"ETV1",-0.0367079865188376,-0.192165834627033,-0.107198778747972
"HOXB13",0.199716986137874,0.0387897548119767,-0.257777261584955
"RELA",-0.163820803545695,0.739205463811018,0.744928436192951
"SOX9",-0.30271647943931,0.716608276485516,0.919693322891689
"ELF1",-0.362362570349547,-0.579945289433565,-0.26226469561164
"GRHL2",0.560676639227398,1.76421444682251,2.07391060418847
