"","ENZ48_vs_DMSO","RESA_vs_DMSO","RESB_vs_DMSO"
"AR(+)",0.0247179487179487,0.0367179487179487,0.0768205128205128
"NKX3-1(+)",-0.0394814814814815,-0.0618148148148148,-0.0171111111111111
"MYC(+)",-0.00389486260454003,-0.00589486260454002,-0.0118088410991637
"E2F1(+)",0.000353140916808149,0.0043180531975099,0.00290888511601585
"JUN(+)",-0.00331111111111111,0.0141333333333333,0.0193333333333333
"FOS(+)",0,0,0.0389019607843137
"FOXO1(+)",0,0,0
"STAT1(+)",0,0,0
