"","DMSO","ENZ48","RESA","RESB"
"AR(+)",0.069025641025641,0.0937435897435898,0.10574358974359,0.145846153846154
"NKX3-1(+)",0.595481481481482,0.556,0.533666666666667,0.57837037037037
"MYC(+)",0.0666379928315412,0.0627431302270012,0.0607431302270012,0.0548291517323775
"E2F1(+)",0.00766723259762309,0.00802037351443124,0.011985285795133,0.0105761177136389
"JUN(+)",0.0146222222222222,0.0113111111111111,0.0287555555555556,0.0339555555555556
"FOS(+)",0,0,0,0.0389019607843137
"FOXO1(+)",0,0,0,0
"STAT1(+)",0,0,0,0
